Hora,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,4,6,3
6,44,32,36,53,60,52,45,60,85,106,91,66
7,176,164,174,219,244,243,240,266,289,298,257,211
8,338,330,331,380,415,421,426,460,485,478,423,370
9,466,463,459,498,537,548,565,605,627,602,529,476
10,532,538,534,577,617,628,656,698,715,661,563,513
11,539,546,560,600,625,647,684,730,734,662,555,531
12,524,537,551,576,590,616,657,704,698,622,523,506
13,485,497,516,526,526,554,600,642,628,553,470,459
14,414,437,447,444,432,462,507,541,518,447,378,378
15,311,336,340,328,309,332,371,398,369,310,265,272
16,181,196,195,172,156,170,202,215,184,143,127,144
17,51,58,46,26,17,21,32,36,23,15,17,31
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
Sum,4061,4134,4189,4399,4528,4694,4985,5355,5355,4901,4204,3960
