Average hourly profiles,,,,,,,,,,,,
,,,,,,,,,,,,
Total photovoltaic power output [Wh],,,,,,,,,,,,
,,,,,,,,,,,,
HORA,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0-1,0,0,0,0,0,0,0,0,0,0,0,0
1-2,0,0,0,0,0,0,0,0,0,0,0,0
2-3,0,0,0,0,0,0,0,0,0,0,0,0
3-4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,0,0,0,0,0,4,6,3
6 - 7,44,32,36,53,60,52,45,60,85,106,91,66
7 - 8,176,164,174,219,244,243,240,266,289,298,257,211
8 - 9,338,330,331,380,415,421,426,460,485,478,423,370
9 - 10,466,463,459,498,537,548,565,605,627,602,529,476
10 - 11,532,538,534,577,617,628,656,698,715,661,563,513
11 - 12,539,546,560,600,625,647,684,730,734,662,555,531
12 - 13,524,537,551,576,590,616,657,704,698,622,523,506
13 - 14,485,497,516,526,526,554,600,642,628,553,470,459
14 - 15,414,437,447,444,432,462,507,541,518,447,378,378
15 - 16,311,336,340,328,309,332,371,398,369,310,265,272
16 - 17,181,196,195,172,156,170,202,215,184,143,127,144
17 - 18,51,58,46,26,17,21,32,36,23,15,17,31
18 - 19,0,0,0,0,0,0,0,0,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
Sum,4061,4134,4189,4399,4528,4694,4985,5355,5355,4901,4204,3960
,,,,,,,,,,,,
Direct normal irradiation [Wh/m²],,,,,,,,,,,,
,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,7,0,0,0,0,0,0,0,12,50,62,29
6 - 7,172,138,143,215,248,216,212,301,306,341,306,232
7 - 8,324,298,296,407,503,563,593,645,569,540,447,371
8 - 9,440,405,378,484,600,666,704,760,725,672,558,479
9 - 10,504,461,430,519,642,710,769,826,812,730,585,515
10 - 11,508,475,442,538,667,735,812,866,848,731,555,481
11 - 12,458,432,437,531,622,722,801,872,838,701,515,460
12 - 13,430,415,434,504,569,675,756,837,791,655,485,428
13 - 14,421,401,426,471,529,613,714,776,729,596,456,404
14 - 15,400,401,415,457,491,574,666,724,668,542,427,379
15 - 16,373,381,399,434,446,526,605,663,592,494,394,354
16 - 17,336,328,348,368,379,442,518,568,490,421,347,318
17 - 18,228,228,200,132,106,128,184,212,166,140,128,179
18 - 19,10,10,0,0,0,0,0,0,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
Sum,4611,4373,4348,5060,5802,6570,7334,8050,7546,6613,5265,4629
